Original Task,Ground_Truth_Details,Underspecified Task
What is the top-1 best-selling product in 2022,"{
    ""ranking"": ""top-1"",
    ""category"": ""best-selling product"",
    ""year"": ""2022""
}",What is the best-selling product in 2022?
What is the top-1 best-selling brand in Quarter 1 2022,"{
    ""ranking"": ""top-1"",
    ""metric"": ""best-selling"",
    ""time_period"": ""Quarter 1 2022""
}",What is the best-selling brand in Quarter 1 2022?
What is the top-1 best-selling product type in Quarter 1 2022,"{
    ""metric"": ""top-1 best-selling"",
    ""product"": ""product type"",
    ""time_period"": ""Quarter 1 2022""
}",What is the top-1 best-selling product type?
What are the top-2 best-selling product in 2022,"{
    ""ranking"": ""top-2"",
    ""category"": ""best-selling product"",
    ""year"": ""2022""
}",What are the best-selling product in 2022.
What are the top-3 best-selling product in Jan 2023,"{
    ""ranking"": ""top-3"",
    ""category"": ""best-selling product"",
    ""time period"": ""Jan 2023""
}",What are the best-selling product in Jan 2023.
What is the top-1 best-selling product type in Jan 2023,"{
    ""ranking"": ""top-1"",
    ""metric"": ""best-selling"",
    ""product type"": ""product type"",
    ""time period"": ""Jan 2023""
}",What is the best-selling product type?
What are the top-5 best-selling product in 2023,"{
    ""ranking"": ""top-5"",
    ""category"": ""best-selling product"",
    ""year"": ""2023""
}",What are the best-selling product in 2023.
Tell me the full address of all international airports that are within a driving distance of 50 km to Carnegie Mellon University,"{
    ""location"": ""Carnegie Mellon University"",
    ""distance"": ""50 km"",
    ""type"": ""international airports"",
    ""information"": ""full address""
}",Tell me the full address of all international airports that are within a driving distance to Carnegie Mellon University.
Tell me the full address of all international airports that are within a driving distance of 5 km to Carnegie Mellon University,"{
    ""type"": ""international airports"",
    ""distance"": ""within a driving distance of 5 km"",
    ""location"": ""Carnegie Mellon University""
}",Tell me the full address of all international airports that are within a driving distance of Carnegie Mellon University.
Tell me the full address of all international airports that are within a driving distance of 30 km to Carnegie Art Museum,"{
    ""location"": ""Carnegie Art Museum"",
    ""radius"": ""30 km"",
    ""type"": ""international airports"",
    ""information"": ""full address""
}",Tell me the full address of all international airports that are within a driving distance to Carnegie Art Museum.
